450,0    1,176
451,0    1,110
452,0    1,201
453,0    1,088
454,0    1,208
455,0    1,191
456,0    1,119
457,0    1,183
458,0    1,179
459,0    1,217
460,0    1,207
461,0    1,166
462,0    1,209
463,0    1,236
464,0    1,292
465,0    1,399
466,0    1,377
467,0    1,458
468,0    1,459
469,0    1,631
470,0    1,639
471,0    1,811
472,0    1,974
473,0    2,155
474,0    2,473
475,0    2,693
476,0    3,104
477,0    3,442
478,0    3,879
479,0    4,442
480,0    5,278
481,0    6,185
482,0    7,194
483,0    8,326
484,0   10,112
485,0   12,104
486,0   14,217
487,0   17,236
488,0   20,461
489,0   24,612
490,0   29,050
491,0   35,016
492,0   41,955
493,0   50,183
494,0   59,330
495,0   71,587
496,0   84,014
497,0   98,602
498,0  114,676
499,0  132,915
500,0  151,956
501,0  173,940
502,0  196,266
503,0  225,419
504,0  252,641
505,0  281,536
506,0  312,298
507,0  342,975
508,0  377,192
509,0  409,055
510,0  441,202
511,0  472,876
512,0  499,645
513,0  523,514
514,0  543,981
515,0  553,693
516,0  555,161
517,0  545,186
518,0  527,560
519,0  500,190
520,0  460,344
521,0  420,715
522,0  379,750
523,0  338,636
524,0  300,169
525,0  265,789
526,0  231,963
527,0  203,466
528,0  178,089
529,0  156,234
530,0  134,760
531,0  118,342
532,0  102,817
533,0   89,731
534,0   77,384
535,0   67,872
536,0   59,922
537,0   52,807
538,0   46,366
539,0   40,588
540,0   35,658
541,0   31,704
542,0   27,926
543,0   24,335
544,0   21,464
545,0   19,118
546,0   16,946
547,0   14,805
548,0   13,325
549,0   11,822
550,0   10,533
551,0    9,242
552,0    8,098
553,0    7,247
554,0    6,645
555,0    5,939
556,0    5,415
557,0    4,835
558,0    4,248
559,0    3,779
560,0    3,462
561,0    3,356
562,0    2,997
563,0    2,832
564,0    2,567
565,0    2,347
566,0    2,217
567,0    2,004
568,0    1,964
569,0    1,826
570,0    1,756
571,0    1,671
572,0    1,617
573,0    1,618
574,0    1,508
575,0    1,519
576,0    1,523
577,0    1,384
578,0    1,417
579,0    1,271
580,0    1,219
581,0    1,208
582,0    1,198
583,0    1,216
584,0    1,180
585,0    1,129
586,0    1,103
587,0    1,188
588,0    1,125
589,0    1,055
590,0    1,152
591,0    1,153
592,0    1,111
593,0    1,140
594,0    1,144
595,0    1,041
596,0    1,105
597,0    1,142
598,0    1,004
599,0    1,007
600,0    1,041
